"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-799",1000,1000,0.5,0.5,6,12,0.5,11.999146487183,6.36600394909094,0.469461935822613,6.48000986275704,0.459960767236341,6.61230843884494,0.459960767236341,6.46484525083202,0.461224574786422
"4-800",1000,1000,0.5,0.5,6,12,0.5,12.3788690807134,6.37738587185865,0.484816760701121,6.37787603407634,0.484777164013048,6.4616015170349,0.484777164013048,6.36371426686143,0.485921191558906
"4-801",1000,1000,0.5,0.5,6,12,0.5,11.4183379673837,6.21587319643067,0.455623645561533,6.11038567326897,0.46486207618629,6.11541012468643,0.46486207618629,6.14328687464982,0.461980640948094
"4-802",1000,1000,0.5,0.5,6,12,0.5,11.567603782947,6.203561395173,0.463712492960875,6.24614912674023,0.460030854795673,6.08510445450134,0.460030854795673,6.26742656263335,0.458191456049627
"4-803",1000,1000,0.5,0.5,6,12,0.5,11.6347304421529,6.19742472746666,0.467334051417881,6.22903377802655,0.464617267327605,6.33495392062029,0.464617267327605,6.2947249952505,0.45897113589804
"4-804",1000,1000,0.5,0.5,6,12,0.5,11.9743783632035,6.18597042884678,0.483399451627829,6.1736938948099,0.484424685144301,6.14462211509093,0.484424685144301,6.22476349224005,0.480159779202538
"4-805",1000,1000,0.5,0.5,6,12,0.5,11.363522509759,5.97175220643017,0.474480540580475,6.00805415466887,0.471285937128286,6.0564940773549,0.471285937128286,5.96366798769411,0.47519195895705
"4-806",1000,1000,0.5,0.5,6,12,0.5,11.9634547966043,6.07191756387029,0.492461193935909,6.14234839720471,0.486574028854262,6.19223555943505,0.486574028854262,6.1142247532736,0.488924825042258
"4-807",1000,1000,0.5,0.5,6,12,0.5,12.3963103371911,6.34653941735243,0.488029966601295,6.38562120142563,0.484877271725954,6.29396935959561,0.484877271725954,6.39966441059252,0.483744417773051
"4-808",1000,1000,0.5,0.5,6,12,0.5,12.2209536717605,6.25790405435392,0.487936520959542,6.35384677882943,0.480085846858943,6.2968586037435,0.480085846858943,6.3111059212703,0.483583189104654
"4-809",1000,1000,0.5,0.5,6,12,0.5,12.2995430371888,6.30494601298987,0.487383718734403,6.19413002189492,0.496393483630537,6.17796611576408,0.496393483630537,6.24443256735688,0.492303693846489
"4-810",1000,1000,0.5,0.5,6,12,0.5,11.9424466801656,6.20646736989212,0.480301856385926,6.22420741792837,0.478816394611521,6.21145308235916,0.478816394611521,6.17688827966692,0.482778659591949
"4-811",1000,1000,0.5,0.5,6,12,0.5,11.8329963935882,6.14884589929744,0.480364423787938,6.20655737761651,0.47548725857978,6.20904636635776,0.47548725857978,6.28950168098044,0.468477681241544
"4-812",1000,1000,0.5,0.5,6,12,0.5,11.7585339226115,6.13253800015896,0.47846066180358,6.0142246706984,0.488522573453385,5.89724323872147,0.488522573453385,6.01637783882763,0.488339458097049
"4-813",1000,1000,0.5,0.5,6,12,0.5,11.8663651374037,6.14168689220121,0.482428964465105,6.19189261695265,0.4781980374567,6.16757026687471,0.4781980374567,6.17231323043491,0.479848027684627
"4-814",1000,1000,0.5,0.5,6,12,0.5,11.7041230068203,6.31754962967222,0.460228705218597,6.42964519660586,0.450651262562849,6.46440596688166,0.450651262562849,6.43092794079848,0.45054166492859
"4-815",1000,1000,0.5,0.5,6,12,0.5,12.2022724683118,6.12948378050156,0.497676863353175,6.17691611589532,0.493789691064821,6.11715422674029,0.493789691064821,6.16663829388438,0.494631978600821
"4-816",1000,1000,0.5,0.5,6,12,0.5,12.6491196458009,6.40512588302417,0.493630698231993,6.47845018173171,0.487833907565072,6.45605814321944,0.487833907565072,6.44511448689722,0.490469323765405
"4-817",1000,1000,0.5,0.5,6,12,0.5,11.9235963930171,6.10209941687642,0.488233313528625,6.05210081606115,0.492426561871428,6.03828133151965,0.492426561871428,6.10551870326785,0.487946547163954
"4-818",1000,1000,0.5,0.5,6,12,0.5,12.2842284488919,6.11139793070537,0.502500465850857,6.09776511740401,0.503610247662395,6.07444938548813,0.503610247662395,6.09545458316495,0.503798337150365
"4-819",1000,1000,0.5,0.5,6,12,0.5,12.0648740314148,6.47223319865416,0.46354738708406,6.3497960140262,0.473695622723251,6.46492347877688,0.473695622723251,6.37420092964774,0.471672815393644
