"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-510",1000,1000,1,0.3,6,12,0.5,11.9302063506038,6.26365487393144,0.474975143777422,6.28492959714866,0.47319187845979,6.40518837145918,0.47319187845979,6.34726436531163,0.467966925401052
"4-511",1000,1000,1,0.3,6,12,0.5,12.5785646773561,6.33282400815644,0.496538423055789,6.21020057301278,0.506287026198436,6.31354976414715,0.506287026198436,6.17186121918337,0.509335017349479
"4-512",1000,1000,1,0.3,6,12,0.5,12.4916723383655,6.12258184372664,0.50986691950585,6.125718763104,0.509615798655704,6.21655633058467,0.509615798655704,6.1164409177334,0.510358521096645
"4-513",1000,1000,1,0.3,6,12,0.5,11.5074506324613,6.20685378586143,0.460623035970054,6.19476590068569,0.461673475859984,6.2980700209437,0.461673475859984,6.17628716909992,0.463279281713597
"4-514",1000,1000,1,0.3,6,12,0.5,12.7146008522264,6.23502688989096,0.50961678134008,6.07763132620731,0.521995900866753,6.16766227563398,0.521995900866753,6.09066050268489,0.520971159576876
"4-515",1000,1000,1,0.3,6,12,0.5,11.6220096417692,5.96534453514134,0.486720049370633,5.88034205068949,0.494033972441765,5.96574986179134,0.494033972441765,5.87940379182706,0.494114703648446
"4-516",1000,1000,1,0.3,6,12,0.5,12.4193958633889,6.35025911865177,0.488682123631175,6.40408236651445,0.4843483179892,6.45630129026944,0.4843483179892,6.38207652149589,0.486120211345416
"4-517",1000,1000,1,0.3,6,12,0.5,11.6376043458886,6.07802444943061,0.47772546060325,6.10454757013823,0.475446372921687,6.22615094417776,0.475446372921687,6.11592309404733,0.474468893058048
"4-518",1000,1000,1,0.3,6,12,0.5,12.2710705552861,6.39700856670032,0.478691892620188,6.31271638960714,0.485561071369785,6.34060351800146,0.485561071369785,6.3305124420435,0.484110826881647
"4-519",1000,1000,1,0.3,6,12,0.5,11.7991021565428,5.95005118783394,0.495720004039922,5.84761927065297,0.504401335536333,5.81609383382673,0.504401335536333,5.85771402349067,0.50354578291006
"4-520",1000,1000,1,0.3,6,12,0.5,12.3356404625286,6.24713294860547,0.493570441876766,6.19748821875908,0.497594937402328,6.18193560297944,0.497594937402328,6.21060306631762,0.496531770264928
"4-521",1000,1000,1,0.3,6,12,0.5,11.3859248337757,6.03333128062503,0.47010617330553,5.93395955547739,0.478833766944024,5.9973246636098,0.478833766944024,5.98283160722548,0.474541445287103
"4-522",1000,1000,1,0.3,6,12,0.5,12.3309207973811,6.11890214513194,0.503775732106599,6.1254304347765,0.503246307763371,6.14254185505066,0.503246307763371,6.13861745650539,0.50217688059361
"4-523",1000,1000,1,0.3,6,12,0.5,12.9619264508553,6.33286580392298,0.511425571813433,6.30053719969297,0.513919692139804,6.57514313388028,0.513919692139804,6.31216412401868,0.513022686253388
"4-524",1000,1000,1,0.3,6,12,0.5,11.786300376941,6.01923702054074,0.489302255327131,5.98512537287966,0.492196433022434,6.03533855122735,0.492196433022434,5.96550420910352,0.493861176253866
"4-525",1000,1000,1,0.3,6,12,0.5,11.2470252520519,6.04633426217489,0.462405913859598,5.9643560029223,0.469694797579107,6.01534703986111,0.469694797579107,5.95695497118615,0.470352841067966
"4-526",1000,1000,1,0.3,6,12,0.5,12.5033349657186,6.42032884089203,0.486510690268225,6.26184913289245,0.49918568525429,6.14923975144858,0.49918568525429,6.25300469901047,0.499893051241543
"4-527",1000,1000,1,0.3,6,12,0.5,11.867793440798,6.19028939926164,0.478395926745638,6.15418518408562,0.48143812792281,6.21363905765503,0.48143812792281,6.18923754231581,0.478484557960117
"4-528",1000,1000,1,0.3,6,12,0.5,12.3774612066179,6.18718139108367,0.500125163973405,6.04919740248559,0.511273168099187,6.05848327887674,0.511273168099187,6.12489211301114,0.505157640103423
"4-529",1000,1000,1,0.3,6,12,0.5,12.0988215745758,6.05920477168997,0.499190500963942,6.08834487627767,0.496781993291679,6.19643980867296,0.496781993291679,6.08856696355001,0.496763637183941
"4-530",1000,1000,1,0.3,6,12,0.5,11.7380715090528,6.26400294485313,0.466351611504316,6.26536523474506,0.466235554118665,6.37240419610363,0.466235554118665,6.27047162955101,0.465800525689846
"4-531",1000,1000,1,0.3,6,12,0.5,12.4124982062644,6.30207626922176,0.492279784093647,6.32322920697688,0.490575619677781,6.40897375013437,0.490575619677781,6.36440135608766,0.487258628333525
"4-532",1000,1000,1,0.3,6,12,0.5,12.1077397549864,6.10154383014751,0.496062522517082,5.93390387466255,0.509908207911494,5.97403296866965,0.509908207911494,5.92996738932416,0.510233329314667
"4-533",1000,1000,1,0.3,6,12,0.5,11.8014409962569,5.92656004301196,0.497810475441797,5.79343308336621,0.509091043610377,5.93338792440364,0.509091043610377,5.73321484790124,0.514193660780947
"4-534",1000,1000,1,0.3,6,12,0.5,11.2895349624086,6.21380526374492,0.449595994482024,6.19961826497476,0.450852644894764,6.35726684032775,0.450852644894764,6.17709609286033,0.452847605022832
"4-535",1000,1000,1,0.3,6,12,0.5,12.6113433279032,6.38115321437211,0.494014789030958,6.3804186035118,0.494073039039797,6.43132086306925,0.494073039039797,6.36326735867934,0.495433024600931
"4-536",1000,1000,1,0.3,6,12,0.5,11.7219950438264,6.15369281858758,0.475030249067669,6.26985569262536,0.465120427949039,6.25566226401426,0.465120427949039,6.28724452104701,0.4636369920359
"4-537",1000,1000,1,0.3,6,12,0.5,12.4411411898866,6.30719611526605,0.493037172474729,6.14164987427244,0.50634352745189,6.29529761484378,0.50634352745189,6.14617933695876,0.505979456132612
"4-538",1000,1000,1,0.3,6,12,0.5,12.0518268475402,6.264370923961,0.480213995503963,6.24574882700827,0.481759163484577,6.23144709040091,0.481759163484577,6.25606795770764,0.480902933899643
"4-539",1000,1000,1,0.3,6,12,0.5,12.5364049157374,6.6202116345916,0.471921042827757,6.45783439240993,0.484873499554632,6.48359252504551,0.484873499554632,6.49086835853174,0.482238456546382
"4-540",1000,1000,1,0.3,6,12,0.5,12.236839354925,6.02421227017811,0.507698671572938,5.89676918534312,0.518113377620681,6.11120151135881,0.518113377620681,5.98369836301614,0.511009486235686
"4-541",1000,1000,1,0.3,6,12,0.5,11.6827299613394,5.99265278688919,0.487050303591701,5.92665123329821,0.492699801081534,5.90958949619943,0.492699801081534,5.94027982069048,0.491533242628384
"4-542",1000,1000,1,0.3,6,12,0.5,12.6108583354698,6.28228487331277,0.501835267180588,6.18752854593053,0.509349135377467,6.30622052758508,0.509349135377467,6.25438277382031,0.504047812809934
"4-543",1000,1000,1,0.3,6,12,0.5,12.5928357612388,6.24547302958665,0.504045542401939,6.27411503997498,0.501771073733295,6.29706119648671,0.501771073733295,6.25341672828756,0.503414731451052
"4-544",1000,1000,1,0.3,6,12,0.5,13.0418606984402,6.36065318612549,0.51228943988903,6.32351957417342,0.515136703236699,6.48551127523034,0.515136703236699,6.29851995124463,0.517053578712281
"4-545",1000,1000,1,0.3,6,12,0.5,12.207690022268,6.61178958652718,0.458391425858076,6.59295589319444,0.459934198757649,6.57486115721333,0.459934198757649,6.61083689500991,0.4584694661356
"4-546",1000,1000,1,0.3,6,12,0.5,11.4801534589063,6.11708449586318,0.467160041217259,6.03155657973509,0.474610108538593,6.10374885411255,0.474610108538593,6.06728711014724,0.471497734602125
"4-547",1000,1000,1,0.3,6,12,0.5,12.3973267210882,6.36527236029397,0.486560893045881,6.30869075980268,0.491124909286175,6.31834700012816,0.491124909286175,6.32326281244257,0.489949490345647
"4-548",1000,1000,1,0.3,6,12,0.5,11.3394311988488,6.14344317901715,0.45822298567843,6.19628632466489,0.453562862545172,6.31860366024185,0.453562862545172,6.22569804165249,0.450969106608755
