"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-53",1000,1000,0.3,1,6,12,0.5,12.8163118138684,6.14305407288196,0.5206847209948,6.26995511453065,0.510783195228911,6.01038128825763,0.510783195228911,6.24902957000941,0.51241592271129
"4-54",1000,1000,0.3,1,6,12,0.5,12.0396249255262,5.96414639109247,0.504623571914822,6.06975338944594,0.495851953279962,5.98228743037359,0.495851953279962,6.08949587786075,0.494212160633851
"4-55",1000,1000,0.3,1,6,12,0.5,12.5948966941279,6.3396583322058,0.496648643798601,6.38602853213561,0.492966978036989,6.25366625166141,0.492966978036989,6.37432754355632,0.493896004202384
"4-56",1000,1000,0.3,1,6,12,0.5,11.6940983117208,6.52352734624203,0.442152171775092,6.57278189933812,0.437940256347058,6.48978599512883,0.437940256347058,6.53505646938547,0.441166279332929
"4-57",1000,1000,0.3,1,6,12,0.5,11.8452123812027,6.06532461870619,0.487951382929078,6.09956984928214,0.48506032201148,6.02343410889383,0.48506032201148,6.12431953167689,0.482970897052411
"4-58",1000,1000,0.3,1,6,12,0.5,12.0411348474012,6.05401432407602,0.497222280059207,6.05995632992177,0.49672880449224,6.13750566218295,0.49672880449224,6.03096479631115,0.499136512235574
"4-59",1000,1000,0.3,1,6,12,0.5,11.9909550377933,6.15568771766901,0.486639079350442,6.24268073862478,0.479384192589415,6.01775366024117,0.479384192589415,6.1950792798508,0.483353973030084
"4-60",1000,1000,0.3,1,6,12,0.5,12.2092606670681,6.18737782450366,0.493222563329096,6.33364993273829,0.481242140253261,6.02070265078955,0.481242140253261,6.30570846711877,0.483530687150689
"4-61",1000,1000,0.3,1,6,12,0.5,11.853786613826,6.27616519848336,0.470534994179584,6.27669594012264,0.470490220162928,6.18935230848784,0.470490220162928,6.31071886686665,0.46762000426885
"4-62",1000,1000,0.3,1,6,12,0.5,12.9997018534459,6.06576531290336,0.533391966886112,6.22018395728636,0.521513337197227,6.09849185722999,0.521513337197227,6.22580115037948,0.521081235510862
"4-63",1000,1000,0.3,1,6,12,0.5,13.1237827279814,6.41216900807474,0.511408475667367,6.4891706295665,0.505541141295274,6.47463519301404,0.505541141295274,6.46379561870164,0.507474654779215
"4-64",1000,1000,0.3,1,6,12,0.5,11.8520613259316,6.26474347420292,0.471421611657033,6.32156215307621,0.466627620357901,6.19407729478541,0.466627620357901,6.34923396734629,0.464292852294431
"4-65",1000,1000,0.3,1,6,12,0.5,12.5101367415826,6.1521664675224,0.508225481894763,6.16728507136123,0.507016973614548,6.0494474992712,0.507016973614548,6.17053904185233,0.506756866906019
"4-66",1000,1000,0.3,1,6,12,0.5,12.4375153519036,6.48627991155278,0.478490701073984,6.57280506310412,0.471533913556283,6.48814440629544,0.471533913556283,6.57133866038793,0.471651815136679
"4-67",1000,1000,0.3,1,6,12,0.5,11.859952187591,6.22198929424556,0.475378214361134,6.30813680407643,0.468114482731507,6.17967888814868,0.468114482731507,6.30025323547812,0.468779204517363
"4-68",1000,1000,0.3,1,6,12,0.5,13.2229793714,6.43501229238658,0.513346265494078,6.51158594767052,0.507555312250246,6.2961741981481,0.507555312250246,6.52445945651914,0.50658174128057
"4-69",1000,1000,0.3,1,6,12,0.5,11.8865710789948,6.46291684379695,0.456284171368999,6.46388326282512,0.456202867936601,6.25016552770323,0.456202867936601,6.47534886315964,0.455238283595303
"4-70",1000,1000,0.3,1,6,12,0.5,12.5783421140764,6.29697497617904,0.499379574901837,6.33214827833696,0.496583236414704,6.17459724585431,0.496583236414704,6.34191445365375,0.495806808549392
"4-71",1000,1000,0.3,1,6,12,0.5,11.6768996539353,6.00793446237675,0.485485476416508,6.17663447475649,0.471038147298381,6.24837565317456,0.471038147298381,6.14723593443709,0.473555813904302
"4-72",1000,1000,0.3,1,6,12,0.5,12.0501429317903,6.39030225598974,0.469690750378484,6.2416336394162,0.482028248565442,6.18678569010244,0.482028248565442,6.25394884447112,0.481006251969664
"4-73",1000,1000,0.3,1,6,12,0.5,11.6830948695276,6.17598142828446,0.471374537547159,6.21687538296522,0.467874270268886,6.11015593588511,0.467874270268886,6.24726530666412,0.465273082481037
"4-74",1000,1000,0.3,1,6,12,0.5,13.3310787338377,6.44660968562234,0.516422503059772,6.5494462937871,0.508708453040419,6.45940035099751,0.508708453040419,6.49742954465802,0.512610369019435
"4-75",1000,1000,0.3,1,6,12,0.5,12.4488883095632,6.21730944020282,0.500573120619397,6.37748743141006,0.487706269602332,6.31985183943998,0.487706269602332,6.34164006548745,0.4905858332253
"4-76",1000,1000,0.3,1,6,12,0.5,12.1976057773431,6.07066445027114,0.502306882097524,6.22511181659366,0.489644776997407,6.12727061550208,0.489644776997407,6.15882293007115,0.495079358810637
"4-77",1000,1000,0.3,1,6,12,0.5,11.9473570363971,6.20763670241856,0.480417578255402,6.23739222180272,0.47792702580154,6.08922731463499,0.47792702580154,6.23606280745473,0.478038298474144
"4-78",1000,1000,0.3,1,6,12,0.5,12.1850971205946,6.28304954318619,0.484366067746237,6.25221849968932,0.486896293249714,6.08685664279804,0.486896293249714,6.26781692800637,0.48561616982003
"4-79",1000,1000,0.3,1,6,12,0.5,12.6120154462141,6.43113548397822,0.490078686360258,6.41525840401623,0.491337571589959,6.38454666354197,0.491337571589959,6.43346577670686,0.489893918688622
"4-80",1000,1000,0.3,1,6,12,0.5,11.5332172124002,5.94571998094255,0.484469955655574,5.88160150420781,0.490029417127071,5.83667939565416,0.490029417127071,5.85939987143791,0.491954433569667
"4-81",1000,1000,0.3,1,6,12,0.5,11.7398483641146,6.15428360454522,0.475778271263098,6.22445242721358,0.469801292643609,6.03904046603132,0.469801292643609,6.23039751715264,0.469294890026244
"4-82",1000,1000,0.3,1,6,12,0.5,11.8318436786183,6.18141534011261,0.477561104759756,6.28926483913476,0.468445915111244,6.1217772480374,0.468445915111244,6.26785522653131,0.470255405938285
"4-83",1000,1000,0.3,1,6,12,0.5,11.9366023646102,6.17385517166572,0.4827795227585,6.26943631493487,0.474772123303482,6.13496801556311,0.474772123303482,6.21071840476235,0.479691271012264
"4-84",1000,1000,0.3,1,6,12,0.5,11.6270061319624,6.19940006115636,0.466810287119888,6.22758217774991,0.464386437310772,6.31162697268084,0.464386437310772,6.22144449629265,0.464914318812476
"4-85",1000,1000,0.3,1,6,12,0.5,11.9745518103878,6.44924328040058,0.461420904721799,6.67110173114047,0.442893409559314,6.51013147931168,0.442893409559314,6.66952899188796,0.443024749694412
"4-86",1000,1000,0.3,1,6,12,0.5,11.7875673201185,6.49164417538999,0.44928041561974,6.6246548578505,0.437996434892564,6.49573638135808,0.437996434892564,6.57846049755454,0.441915340213861
"4-87",1000,1000,0.3,1,6,12,0.5,12.7978138877828,6.08267218470047,0.524710060793495,6.06563738250534,0.526041132048672,5.99652048750252,0.526041132048672,6.06940093600014,0.52574705420633
"4-88",1000,1000,0.3,1,6,12,0.5,12.08325815389,6.24961903242737,0.482786931071615,6.32130460332784,0.476854295189182,6.17979625990907,0.476854295189182,6.31033723546628,0.477761945073168
"4-89",1000,1000,0.3,1,6,12,0.5,11.7994009848778,6.26216759852468,0.469280889212061,6.37036061536889,0.460111524005906,6.24490606602843,0.460111524005906,6.35141347860664,0.461717295077381
"4-90",1000,1000,0.3,1,6,12,0.5,12.0593965100423,6.12905737684857,0.491760854554814,6.25633377011793,0.481206728304519,6.1247521878035,0.481206728304519,6.23341386611823,0.48310731296318
"4-91",1000,1000,0.3,1,6,12,0.5,11.7566053101259,6.10746746963757,0.480507569274503,6.11376884549213,0.479971583274434,6.01770061688371,0.479971583274434,6.10934946585052,0.480347489373604
"4-92",1000,1000,0.3,1,6,12,0.5,11.6756511700888,5.8693384169131,0.497300978642679,5.95192956920387,0.490227184548663,5.78788164984265,0.490227184548663,5.94500407439479,0.490820341599022
